Code Smell,Possible Refactoring,Definition
Large Component,Split Component,"Divide a large component into smaller components by extracting cohesive UI/logic sections."
Large Component,Extract Component,"Move a JSX subtree into a new component and pass required inputs as props."
Large Component,Extract Logic to Custom Hook,"Move stateful/computational logic into a custom hook (useX) and return values to the component."
Large Component,Extract Conditional/Section Component,"Extract large conditional blocks or repeated sections into named subcomponents."
Duplicated Code,Extract Utility Function,"Consolidate duplicated pure logic into a shared utility function/module."
Duplicated Code,Extract Logic to Custom Hook,"Consolidate duplicated stateful logic into a shared hook reused by multiple components."
Duplicated Code,Extract Shared Component,"Replace duplicated JSX markup with a reusable shared component that renders equivalent UI."
Duplicated Code,Parameterize Component/Function,"Replace copy-paste variants with a single function/component driven by parameters."
Too Many Props,Introduce Object Prop,"Group related props into a single object prop (e.g., customer, options)."
Too Many Props,Split Component,"Break a component into subcomponents to reduce prop surface area."
Too Many Props,Remove Unused Props,"Remove props that are never used and simplify call sites."
Too Many Props,Collapse Boolean Props,"Replace many booleans with a single enum/config object when appropriate."
Prop Drilling,Introduce Context,"Replace deep prop chains with React Context + useContext."
Prop Drilling,Create Custom Hook for Context,"Provide a useX hook wrapper to simplify context consumption."
Prop Drilling,Composition (Children/Slots),"Replace drilling by passing children/render props to avoid forwarding through intermediates."
Prop Drilling,Lift State/Handlers,"Move shared state/handlers to a common ancestor to reduce forwarding depth."
Inline Logic in Render / Complex Conditional Rendering,Extract Helper Function,"Move inline logic into named helper functions outside JSX."
Inline Logic in Render / Complex Conditional Rendering,Extract Derived Values (useMemo),"Compute derived values via useMemo to reduce inline computation."
Inline Logic in Render / Complex Conditional Rendering,Extract Conditional Components,"Replace nested ternaries/inline conditionals with named components."
Inline Logic in Render / Complex Conditional Rendering,Precompute Render Data,"Compute arrays/maps before return to reduce complex inline mapping blocks."
